Code	Description	Class1	Class2
1140851332	centyl 2.5mg tablet	thiazide_diuretic	
1140851336	urizide 5mg tablet	thiazide_diuretic	
1140851338	enduron 5mg tablet	thiazide_diuretic	
1140851362	esidrex k tablet	thiazide_diuretic	
1140851364	hygroton k tablet combination pack	thiazide_diuretic	
1140851368	navidrex-k tablet	thiazide_diuretic	
1140851430	synuretic tablet	thiazide_diuretic	
1140851432	hypertane-50 tablet	thiazide_diuretic	
1140851436	vasetic co-amilozide 5/50mg tablet	thiazide_diuretic	
1140851480	slow-pren 160mg m/r tablet	beta_blocker	
1140851484	paritane 20mg tablet	beta_blocker	
1140851492	betadren 5mg tablet	beta_blocker	
1140851508	spiroprop tablet	beta_blocker	
1140851522	metoros 95mg tablet	beta_blocker	
1140851556	bedranol 10mg tablet	beta_blocker	
1140851576	laracor 20mg tablet	beta_blocker	
1140851660	serpasil-esidrex tablet	thiazide_diuretic	
1140851690	acezide 50mg tablets x56	ace_inhibitor	thiazide_diuretic
1140851692	capozide 50mg tablets x28	ace_inhibitor	thiazide_diuretic
1140851730	calcicard 60mg tablet	calcium_channel_blocker	
1140851790	vasad 5mg capsule	calcium_channel_blocker	
1140851794	calcipine 5mg capsule	calcium_channel_blocker	
1140851798	prenylamine	calcium_channel_blocker	
1140851800	synadrin 60mg tablet	calcium_channel_blocker	
1140860172	totamol 25mg tablet	beta_blocker	
1140860180	arbralene 50mg tablet	beta_blocker	
1140860192	nadolol	beta_blocker	
1140860194	corgard 40mg tablet	beta_blocker	
1140860212	apsolox 20mg tablet	beta_blocker	
1140860220	slow-trasicor 160mg m/r tablet	beta_blocker	
1140860222	trasicor 20mg tablet	beta_blocker	
1140860230	oxyprenix sr 160mg m/r tablet	beta_blocker	
1140860232	kerlone 20mg tablet	beta_blocker	
1140860244	labrocol 100mg tablet	beta_blocker	
1140860250	trandate 50mg tablet	beta_blocker	
1140860266	betaloc 50mg tablet	beta_blocker	
1140860274	lopresor 50mg tablet	beta_blocker	
1140860278	mepranix 50mg tablet	beta_blocker	
1140860292	pindolol	beta_blocker	
1140860294	visken 5mg tablet	beta_blocker	
1140860304	beta-cardone 40mg tablet	beta_blocker	
1140860308	metoprolol tartrate+chlorthalidone 100mg/12.5mg tablet	beta_blocker	thiazide_diuretic
1140860312	nadolol+bendrofluazide 40mg/5mg tablet	beta_blocker	thiazide_diuretic
1140860314	secadrex tablet	beta_blocker	thiazide_diuretic
1140860316	nadolol+bendrofluazide 80mg/5mg tablet	beta_blocker	thiazide_diuretic
1140860318	sotazide tablet	beta_blocker	thiazide_diuretic
1140860320	penbutolol sulphate+frusemide 40mg/20mg tablet	beta_blocker	
1140860322	pindolol+clopamide 10mg/5mg tablet	beta_blocker	thiazide_diuretic
1140860324	tenoret 50 tablet	beta_blocker	thiazide_diuretic
1140860328	tenoretic tablet	beta_blocker	thiazide_diuretic
1140860330	tolerzide tablet	beta_blocker	thiazide_diuretic
1140860332	sotalol hydrochloride+hydrochlorothiazide 80mg/12.5mg tablet	beta_blocker	thiazide_diuretic
1140860334	trasidrex tablet	beta_blocker	thiazide_diuretic
