Name	Drug substance	Class1	Class2
abasaglar	insulin	insulin	
abbenclamide	glibenclamide	sulfonylurea	
acarbose	acarbose	acarbose	
acetohexamide	acetohexamide	sulfonylurea	
actos 	pioglitazone	TZD	
actraphane	insulin	insulin	
actrapid	insulin	insulin	
albiglutide	albiglutide	GLP1Ra	
alogliptin	alogliptin	DPP4i	
amaryl	glimepiride	sulfonylurea	
apidra	insulin	insulin	
aspart 	insulin	insulin	
avandamet	metformin and rosiglitazone	metformin	TZD
avandia	rosiglitazone	TZD	
bilxona	gliclazide	sulfonylurea	
biphasic	insulin	insulin	
bolamyn	metformin	metformin	
bydureon	exenatide	GLP1Ra	
byetta	exenatide	GLP1Ra	
calabren	glibenclamide	sulfonylurea	
canagliflozin	canagliflozin	SGLT2i	
chlorpropamide	chlorpropamide	sulfonylurea	
competact	metformin and pioglitazone	metformin	TZD
dacadis	gliclazide	sulfonylurea	
daonil	glibenclamide	sulfonylurea	
dapagliflozin	dapagliflozin	SGLT2i	
degludec	insulin	insulin	
detemir	insulin	insulin	
diabemide	chlorpropamide	sulfonylurea	
diabetamide	glibenclamide	sulfonylurea	
diabinese	chlorpropamide	sulfonylurea	
diabiom	pioglitazone	TZD	
diagemet	metformin	metformin	
diaglyk	gliclazide	sulfonylurea	
diamicron	gliclazide	sulfonylurea	
dibotin	phenformin	phenformin	
dimelor	acetohexamide	sulfonylurea	
dulaglutide	dulaglutide	GLP1Ra	
edicil	gliclazide	sulfonylurea	
empagliflozin	empagliflozin	SGLT2i	
endopancrine	insulin	insulin	
enyglid	repaglinide	meglitinide	
eperzan	albiglutide	GLP1Ra	
ertugliflozin	ertugliflozin	SGLT2i	
eucreas	metformin and vildagliptin	metformin	DPP4i
euglucon	glibenclamide	sulfonylurea	
exenatide	exenatide	GLP1Ra	
exubera	insulin	insulin	
fiasp	insulin	insulin	
forxiga	dapagliflozin	SGLT2i	
galvus	vildagliptin	DPP4i	
glargine	insulin	insulin	
glibenclamide	glibenclamide	sulfonylurea	
glibenese	glipizide	sulfonylurea	
glibornuride	glibornuride	sulfonylurea	
gliclazide	gliclazide	sulfonylurea	
glidipion	pioglitazone	TZD	
gliken	glibenclamide	sulfonylurea	
glimepiride	glimepiride	sulfonylurea	
glimil	gliclazide	sulfonylurea	
glipizide	glipizide	sulfonylurea	
gliquidone	gliquidone	sulfonylurea	
glizofar	pioglitazone	TZD	
