Name	class
Captopril	ace_inhibitor
Enalapril	ace_inhibitor
Lisinopril	ace_inhibitor
Quinapril	ace_inhibitor
Perindopril	ace_inhibitor
Ramipril	ace_inhibitor
Fosinopril	ace_inhibitor
Cilazapril	ace_inhibitor
Trandolapril	ace_inhibitor
Imidapril	ace_inhibitor
Tritace	ace_inhibitor
Coversyl	ace_inhibitor
Carace	ace_inhibitor
Accupro	ace_inhibitor
Capoten	ace_inhibitor
Odrik	ace_inhibitor
Ecopace	ace_inhibitor
Gopten	ace_inhibitor
Innovace	ace_inhibitor
Staril	ace_inhibitor
Pralenal	ace_inhibitor
Kaplon	ace_inhibitor
Acepril	ace_inhibitor
Tanatril	ace_inhibitor
Zestril	ace_inhibitor
Tensopril	ace_inhibitor
Vascace	ace_inhibitor
Lopace	ace_inhibitor
Quinil	ace_inhibitor
Noyada	ace_inhibitor
Co-zidocapt	ace_inhibitor
Capozide	ace_inhibitor
Innozide	ace_inhibitor
Accuretic	ace_inhibitor
Acezide	ace_inhibitor
Zestoretic	ace_inhibitor
Tarka	ace_inhibitor
Triapin	ace_inhibitor
Caralpha	ace_inhibitor
Lisicostad	ace_inhibitor
Lisoretic	ace_inhibitor
Co-Tritace	ace_inhibitor
Coversyl Arginine Plus	ace_inhibitor
Coversyl Plus	ace_inhibitor
Cotritace	ace_inhibitor
Quinalapril	ace_inhibitor
Dilvas	ace_inhibitor
Renitec	ace_inhibitor
Hyteneze	ace_inhibitor
Hypapril	ace_inhibitor
Moexipril	ace_inhibitor
Perdix	ace_inhibitor
Capto-Co	ace_inhibitor
Ranace	ace_inhibitor
Angiotensin-Converting Enzyme Inhibitor	ace_inhibitor
Angiotension Converting Enzyme Inhibitor	ace_inhibitor
Combitens	ace_inhibitor
Azilsartan	angiotension_receptor_blocker
Candesartan	angiotension_receptor_blocker
Eprosartan	angiotension_receptor_blocker
Irbesartan	angiotension_receptor_blocker
Losartan	angiotension_receptor_blocker
Olmesartan	angiotension_receptor_blocker
Telmisartan	angiotension_receptor_blocker
Valsartan	angiotension_receptor_blocker
Edarbi	angiotension_receptor_blocker
Atacand	angiotension_receptor_blocker
Avapro	angiotension_receptor_blocker
Cozaar	angiotension_receptor_blocker
Cozaar-Comp	angiotension_receptor_blocker
Benicar	angiotension_receptor_blocker
Micardis	angiotension_receptor_blocker
MicardisPlus	angiotension_receptor_blocker
Diovan	angiotension_receptor_blocker
Co-Diovan	angiotension_receptor_blocker
Entresto	angiotension_receptor_blocker
Amias	angiotension_receptor_blocker
Teveten	angiotension_receptor_blocker
Aprovel	angiotension_receptor_blocker
Co-Aprovel	angiotension_receptor_blocker
Olmetec	angiotension_receptor_blocker
Exforge	angiotension_receptor_blocker
Sevikar	angiotension_receptor_blocker
Ifirmasta	angiotension_receptor_blocker
Actelsar	angiotension_receptor_blocker
Tolura	angiotension_receptor_blocker
Tolucombi	angiotension_receptor_blocker
Sevikar HCT	angiotension_receptor_blocker
Zovencal	angiotension_receptor_blocker
Propranolol	beta_blocker
Acebutolol	beta_blocker
Atenolol	beta_blocker
Labetalol	beta_blocker
Metoprolol	beta_blocker
Nadolol	beta_blocker
Oxprenolol	beta_blocker
Pindolol	beta_blocker
Sotalol	beta_blocker
Timolol	beta_blocker
Bisoprolol	beta_blocker
Celiprolol	beta_blocker
Carvedilol	beta_blocker
Nebivolol	beta_blocker
Cardicor	beta_blocker
Syprol	beta_blocker
Betaloc	beta_blocker
Trandate	beta_blocker
Betim	beta_blocker
Beta-Cardone	beta_blocker
Emcor	beta_blocker
Lopresor	beta_blocker
Inderal	beta_blocker
Tenormin	beta_blocker
Atenix	beta_blocker
Sectral	beta_blocker
Monocor	beta_blocker
Eucardic	beta_blocker
Sotacor	beta_blocker
Celectol	beta_blocker
Beta-Prograne	beta_blocker
Bedranol	beta_blocker
Trasicor	beta_blocker
Nebilet	beta_blocker
Soloc	beta_blocker
Antipressan	beta_blocker
Rapranol	beta_blocker
Corgard	beta_blocker
Visken	beta_blocker
Congescor	beta_blocker
Co-tenidone	beta_blocker
Moducren	beta_blocker
Prestim	beta_blocker
Kalten	beta_blocker
Slo-Pro	beta_blocker
Tenchlor	beta_blocker
Inderetic	beta_blocker
Inderex	beta_blocker
Bipranix	beta_blocker
Tenben	beta_blocker
Tenoret	beta_blocker
Secadrex	beta_blocker
Co-Betaloc	beta_blocker
Tenif	beta_blocker
Beta-Adalat	beta_blocker
Trasidrex	beta_blocker
Viskaldix	beta_blocker
Corgaretic	beta_blocker
Monozide	beta_blocker
Vivacor	beta_blocker
Hypoloc	beta_blocker
Co-prenozide	beta_blocker
Lopresoretic	beta_blocker
Atenixco	beta_blocker
Atenix co	beta_blocker
Apsolol	beta_blocker
Arbralene	beta_blocker
Avlocardyl	beta_blocker
Berkolol	beta_blocker
Betadren	beta_blocker
Betadur	beta_blocker
Cardinol	beta_blocker
Labrocol	beta_blocker
Laracor	beta_blocker
Lopranol	beta_blocker
Mepranix	beta_blocker
Metipranolol	beta_blocker
Metoros	beta_blocker
