Code	Description
66Ay.	Gestational diabetes mellitus annual review
8CE00	Gestational diabetes information leaflet given
C101y	Other specified diabetes mellitus with ketoacidosis
C103y	Other specified diabetes mellitus with coma
C104y	Other specified diabetes mellitus with renal complications
C105y	Other specified diabetes mellitus with ophthalmic complicatn
C106y	Other specified diabetes mellitus with neurological comps
C107y	Other specified diabetes mellitus with periph circ comps
C108y	Other specified diabetes mellitus with multiple comps
C1098	Reaven's syndrome
C10A.	Malnutrition-related diabetes mellitus
C10A0	Malnutrition-related diabetes mellitus with coma
C10A1	Malnutrition-related diabetes mellitus with ketoacidosis
C10A2	Malnutrition-related diabetes mellitus with renal complications
C10A3	Malnutrition-related diabetes mellitus with ophthalmic complications
C10A4	Malnutrition-related diabetes mellitus with neurological complications
C10A5	Malnutrition-related diabetes mellitus with peripheral circulatory complications
C10A6	Malnutrition-related diabetes mellitus with multiple complications
C10A7	Malnutrition-related diabetes mellitus without complications
C10AW	Malnutrition-related diabetes mellitus with unspecified complications
C10AX	Malnutrition-related diabetes mellitus with other specified complications
C10B.	Diabetes mellitus induced by steroids
C10B0	Steroid induced diabetes mellitus without complication
C10C.	Maturity onset diabetes in youth type 1
C10D.	Diabetes mellitus autosomal dominant type 2
C10F8	Metabolic syndrome X
C10FS	Maternally inherited diabetes mellitus
C10G.	Secondary pancreatic diabetes mellitus
C10G0	Secondary pancreatic diabetes mellitus without complication
C10H.	Diabetes mellitus induced by non-steroid drugs
C10H0	Diabetes mellitus induced by non-steroid drugs without complication
C10J.	Insulin autoimmune syndrome
C10J0	Insulin autoimmune syndrome without complication
C10K.	Type A insulin resistance
C10K0	Type A insulin resistance without complication
C10L.	Fibrocalculous pancreatopathy
C10L0	Fibrocalculous pancreatopathy without complication
C10M.	Lipoatrophic diabetes mellitus
C10M0	Lipoatrophic diabetes mellitus without complication
C10N.	Secondary diabetes mellitus
C10N0	Secondary diabetes mellitus without complication
C10N1	Cystic fibrosis related diabetes mellitus
C10Q.	Maturity onset diabetes of the young type 5
C10yy	Other specified diabetes mellitus with other spec comps
C10zy	Other specified diabetes mellitus with unspecified comps
C11y0	Steroid induced diabetes
C135.	Diabetes insipidus
C1350	Cranial diabetes insipidus
C1zy6	Rabson-Mendenhall syndrome
C314.	Renal diabetes
C3500	Bronzed diabetes
Cyu20	[X]Other specified diabetes mellitus
Cyu21	[X]Malnutrition-related diabetes mellitus with other specified complications
Cyu22	[X]Malnutrition-related diabetes mellitus with unspecified complications
K081.	Nephrogenic diabetes insipidus
K0810	Acquired nephrogenic diabetes insipidus
K0811	Congenital nephrogenic diabetes insipidus
L1807	Pre-existing malnutrition-related diabetes mellitus
L1808	Diabetes mellitus arising in pregnancy
L1809	Gestational diabetes mellitus
PKyP.	Wolfram syndrome
Q440.	'Infant of a diabetic mother' syndrome
Q441.	Neonatal diabetes mellitus
Q44B.	Syndrome of infant of mother with gestational diabetes
Q44y1	Transitory metabolic disturbance-infant pre-diabetic mother
ZC2CB	Dietary advice for gestational diabetes
ZV13F	[V]Personal history of gestational diabetes mellitus
