Code	Description
13AB.	Diabetic lipid lowering diet
13AC.	Diabetic weight reducing diet
13B1.	Diabetic diet
13B10	Diabetic carbohydrate counting diet
13Y1.	Diabetic association member
1434.	H/O: diabetes mellitus
14F4.	H/O: Admission in last year for diabetes foot problem
14P3.	H/O: insulin therapy
1IA..	No evidence of diabetic nephropathy
1M8..	Diabetic peripheral neuropathic pain
21263	Diabetes resolved
212H.	Diabetes resolved
2BBF.	Retinal abnormality - diabetes related
2BBJ.	O/E - no right diabetic retinopathy
2BBK.	O/E - no left diabetic retinopathy
2BBL.	O/E - diabetic maculopathy present both eyes
2BBM.	O/E - diabetic maculopathy absent both eyes
2BBP.	O/E - right eye background diabetic retinopathy
2BBQ.	O/E - left eye background diabetic retinopathy
2BBR.	O/E - right eye preproliferative diabetic retinopathy
2BBS.	O/E - left eye preproliferative diabetic retinopathy
2BBT.	O/E - right eye proliferative diabetic retinopathy
2BBV.	O/E - left eye proliferative diabetic retinopathy
2BBW.	O/E - right eye diabetic maculopathy
2BBX.	O/E - left eye diabetic maculopathy
2BBk.	O/E - right eye stable treated prolif diabetic retinopathy
2BBl.	O/E - left eye stable treated prolif diabetic retinopathy
2BBo.	O/E - sight threatening diabetic retinopathy
2BBr.	Impaired vision due to diabetic retinopathy
2G510	Foot abnormality - diabetes related
2G5A.	O/E - Right diabetic foot at risk
2G5B.	O/E - Left diabetic foot at risk
2G5C.	Foot abnormality - diabetes related
2G5E.	O/E - Right diabetic foot at low risk
2G5F.	O/E - Right diabetic foot at moderate risk
2G5G.	O/E - Right diabetic foot at high risk
2G5H.	O/E - Right diabetic foot - ulcerated
2G5I.	O/E - Left diabetic foot at low risk
2G5J.	O/E - Left diabetic foot at moderate risk
2G5K.	O/E - Left diabetic foot at high risk
2G5L.	O/E - Left diabetic foot - ulcerated
2G5V.	O/E - right chronic diabetic foot ulcer
2G5W.	O/E - left chronic diabetic foot ulcer
2G5d.	O/E - Left diabetic foot at increased risk
2G5e.	O/E - Right diabetic foot at increased risk
3881.	Education score - diabetes
3882.	Diabetes well being questionnaire
3883.	Diabetes treatment satisfaction questionnaire
38QW.	Diabetes Distress Scale 2 item
38QX.	Diabetes Distress Scale 17 item
38VP.	Young Townson FootSkin Scale for Diabetic Neuropathy
661M4	Diabetes self-management plan agreed
661N4	Diabetes self-management plan review
66A..	Diabetic monitoring
66A1.	Initial diabetic assessment
66A2.	Follow-up diabetic assessment
66A3.	Diabetic on diet only
66A4.	Diabetic on oral treatment
66A5.	Diabetic on insulin
66A8.	Has seen dietician - diabetes
66A9.	Understands diet - diabetes
66AA.	Injection sites - diabetic
66AD.	Fundoscopy - diabetic check
66AG.	Diabetic drug side effects
66AH.	Diabetic treatment changed
66AH0	Conversion to insulin
66AH1	Conversion to insulin in secondary care
66AH2	Conversion to insulin by diabetes specialist nurse
66AH3	Conversion to non-insulin injectable medication
66AI.	Diabetic - good control
66AJ.	Diabetic - poor control
66AJ1	Brittle diabetes
66AJz	Diabetic - poor control NOS
66AK.	Diabetic - cooperative patient
66AL.	Diabetic-uncooperative patient
66AM.	Diabetic - follow-up default
66AN.	Date diabetic treatment start
66AO.	Date diabetic treatment stopp.
66AP.	Diabetes: practice programme
66AQ.	Diabetes: shared care programme
66AQ0	Unsuitable for diabetes year of care programme
66AQ1	Declined consent for diabetes year of care programme
66AR.	Diabetes management plan given
66AS.	Diabetic annual review
66AS0	Diabetes Year of Care annual review
66AT.	Annual diabetic blood test
66AU.	Diabetes care by hospital only
66AV.	Diabetic on insulin and oral treatment
66AW.	Diabetic foot risk assessment
66AX.	Diabetes: shared care in pregnancy - diabetol and obstet
66AY.	Diabetic diet - good compliance
66AZ.	Diabetic monitoring NOS
66Aa.	Diabetic diet - poor compliance
66Ab.	Diabetic foot examination
66Ac.	Diabetic peripheral neuropathy screening
66Af.	Patient diabetes education review
66Ag.	Insulin needles changed daily
66Ah.	Insulin needles changed for each injection
66Ai.	Diabetic 6 month review
66Aj.	Insulin needles changed less than once a day
