Code	Description
42W..	Glycated haemoglobin
42W1.	Hb. A1C < 7% - good control
42W2.	Hb. A1C 7-10% - borderline
42W3.	Hb. A1C > 10% - bad control
42W4.	HbA1c level (DCCT aligned)
42W5.	Haemoglobin A1c level - International Federation of Clinical Chemistry and Laboratory Medicine standardised
42WZ.	Hb. A1C - diabetic control NOS
42c..	HbA1 - diabetic control
42c0.	HbA1 < 7% - good control
42c1.	HbA1 7 - 10% - borderline control
42c2.	HbA1 > 10% - bad control
42c3.	HbA1 level (DCCT aligned)
44TB.	Haemoglobin A1c level
44TC.	Haemoglobin A1 level
44TL.	Total glycosylated haemoglobin level
